SKU_ID,Product_Name,Category,n_obs,price_cv_pct,sku_elasticity,normal_elasticity,promo_elasticity,category_elasticity,final_elasticity,elasticity_source,elasticity,std_err,p_value,r_squared,significant,vif_log_price,vif_log_comp_price,high_multicollinearity,classification,data_flags
SKU0028,Sunscreen SPF50,Beauty & Personal Care,27,4.82,-1.3107,-1.3107,0.0316,-0.7596,-1.3107,category,-1.3107,0.6726,0.0513,0.3145,False,1.0945,1.0945,False,INSUFFICIENT_DATA,LOW_PRICE_VARIATION(cv=4.8%)
SKU0011,Almonds 500g,Groceries,27,6.18,-1.1961,-1.1961,-0.7101,-0.2207,-1.1961,sku,-1.1961,0.5508,0.0299,0.2169,True,1.0619,1.0619,False,ELASTIC,OK
SKU0003,Gaming Console X1,Electronics,26,6.13,-1.176,-1.176,1.7516,-1.9363,-1.176,sku,-1.176,0.4901,0.0164,0.6828,True,1.0001,1.0001,False,ELASTIC,OK
SKU0023,Vacuum Cleaner,Home & Kitchen,27,6.1,-1.175,-1.175,-0.1143,-0.7637,-1.175,sku,-1.175,0.4679,0.012,0.3703,True,1.0001,1.0001,False,ELASTIC,OK
SKU0026,Face Serum 30ml,Beauty & Personal Care,27,5.91,-0.9546,-0.9546,-0.1081,-0.7596,-0.9546,sku,-0.9546,0.4017,0.0175,0.465,True,1.0003,1.0003,False,INELASTIC,OK
SKU0014,Cotton T-Shirt,Apparel,27,7.57,-0.8937,-0.8937,-1.4484,-0.8507,-0.8937,category,-0.8937,0.624,0.152,0.4873,False,1.0038,1.0038,False,NOT_SIGNIFICANT,OK
SKU0030,Beard Trimmer,Beauty & Personal Care,27,5.93,-0.8676,-0.8676,-2.3767,-0.7596,-0.8676,category,-0.8676,0.4663,0.0628,0.3013,False,1.0891,1.0891,False,NOT_SIGNIFICANT,OK
SKU0045,Cat Food 3kg,Pet Supplies,27,6.56,-0.8569,-0.8569,-1.3551,-1.2142,-0.8569,sku,-0.8569,0.4254,0.044,0.3007,True,1.0005,1.0005,False,INELASTIC,OK
SKU0002,4K Smart TV 43-inch,Electronics,27,6.67,-0.7486,-0.7486,-2.7505,-1.9363,-0.7486,category,-0.7486,0.9075,0.4094,0.4418,False,1.0157,1.0157,False,NOT_SIGNIFICANT,OK
SKU0001,Smart Earbuds,Electronics,27,6.23,-0.6959,-0.6959,-1.2398,-1.9363,-0.6959,category,-0.6959,0.8863,0.4324,0.4443,False,1.0431,1.0431,False,NOT_SIGNIFICANT,OK
SKU0019,Formal Shirt,Apparel,27,6.87,-0.552,-0.552,-0.2365,-0.8507,-0.552,category,-0.552,0.6772,0.4149,0.2614,False,1.0577,1.0577,False,NOT_SIGNIFICANT,OK
SKU0025,Bedsheet King,Home & Kitchen,27,6.8,-0.5381,-0.5381,-1.2162,-0.7637,-0.5381,category,-0.5381,0.5717,0.3465,0.5084,False,1.2582,1.2582,False,NOT_SIGNIFICANT,OK
SKU0042,Art Supplies Kit,Books & Stationery,27,6.38,-0.4585,-0.4585,-1.7398,-0.6821,-0.4585,category,-0.4585,0.5892,0.4364,0.2918,False,1.0111,1.0111,False,NOT_SIGNIFICANT,OK
SKU0022,Nonstick Cookware Set,Home & Kitchen,27,5.92,-0.426,-0.426,-2.2586,-0.7637,-0.426,category,-0.426,0.9698,0.6605,0.2292,False,1.0774,1.0774,False,NOT_SIGNIFICANT,OK
SKU0008,Premium Basmati Rice 5kg,Groceries,27,7.58,-0.4112,-0.4112,-0.4593,-0.2207,-0.4112,category,-0.4112,0.5031,0.4138,0.2512,False,1.0095,1.0095,False,NOT_SIGNIFICANT,OK
SKU0038,Exam Prep Book,Books & Stationery,27,6.29,-0.3583,-0.3583,-1.4699,-0.6821,-0.3583,category,-0.3583,1.0583,0.7349,0.3934,False,1.0117,1.0117,False,NOT_SIGNIFICANT,OK
SKU0017,Casual Sneakers,Apparel,27,5.1,-0.2452,-0.2452,1.7034,-0.8507,-0.2452,category,-0.2452,1.4695,0.8675,0.3387,False,1.0242,1.0242,False,NOT_SIGNIFICANT,OK
SKU0046,Pet Shampoo,Pet Supplies,27,6.42,-0.1701,-0.1701,-1.4172,-1.2142,-0.1701,category,-0.1701,1.428,0.9052,0.2395,False,1.0625,1.0625,False,NOT_SIGNIFICANT,OK
SKU0034,Dumbbell Set 10kg,Sports & Fitness,27,5.45,-0.145,-0.145,-4.0004,-1.4654,-0.145,category,-0.145,0.7698,0.8506,0.3277,False,1.0133,1.0133,False,NOT_SIGNIFICANT,OK
SKU0032,Running Shoes,Sports & Fitness,26,6.06,-0.137,-0.137,-2.1581,-1.4654,-0.137,category,-0.137,0.7763,0.8599,0.6317,False,1.1313,1.1313,False,NOT_SIGNIFICANT,OK
SKU0035,Resistance Bands,Sports & Fitness,27,5.11,0.272,0.272,0.1354,-1.4654,0.272,category,0.272,1.5832,0.8636,0.25,False,1.0794,1.0794,False,NOT_SIGNIFICANT,OK
SKU0029,Hair Dryer,Beauty & Personal Care,27,7.2,0.5161,0.5161,-2.1207,-0.7596,0.5161,category,0.5161,0.8677,0.552,0.5513,False,1.0552,1.0552,False,NOT_SIGNIFICANT,OK
SKU0033,Yoga Mat,Sports & Fitness,27,5.16,0.5357,0.5357,-3.1783,-1.4654,0.5357,category,0.5357,1.3422,0.6898,0.6177,False,1.0026,1.0026,False,NOT_SIGNIFICANT,OK
SKU0010,Arabica Coffee 500g,Groceries,27,6.64,0.613,0.613,0.3654,-0.2207,0.613,category,0.613,0.8606,0.4763,0.2517,False,1.0993,1.0993,False,NOT_SIGNIFICANT,OK
SKU0036,Fitness Tracker,Sports & Fitness,27,6.15,0.8087,0.8087,-2.728,-1.4654,0.8087,category,0.8087,1.7839,0.6503,0.2375,False,1.0077,1.0077,False,NOT_SIGNIFICANT,OK
SKU0041,Pen Set,Books & Stationery,27,6.4,1.0867,1.0867,-0.9683,-0.6821,1.0867,category,1.0867,1.4218,0.4447,0.264,False,1.035,1.035,False,NOT_SIGNIFICANT,OK
