week_start_date,sku_id,category,current_price,recommended_price,predicted_gross_margin,price_change_pct,current_quantity,predicted_quantity,volume_change_pct,historical_revenue,cost_price,predicted_revenue,revenue_change_pct,historical_profit,predicted_profit,profit_change_pct,elasticity,elasticity_p_value,elasticity_significant
2024-12-30,SKU0001,Electronics,11824.967142857144,,,,28,,,331099.08,8000,,,107099.08000000002,,,-0.6959,0.4324,False
2024-07-01,SKU0002,Electronics,17489.128724137932,,,,290,,,5071847.33,18000,,,-148152.66999999963,,,-2.7505,0.4094,False
2024-07-08,SKU0002,Electronics,20573.90927272728,,,,165,,,3394695.030000001,18000,,,424695.0300000012,,,-2.7505,0.4094,False
2024-07-15,SKU0002,Electronics,22632.095,23570.32326196831,23.632782631183755,4.145565233657389,134,129.98669732225667,-2.995001998315916,3032700.73,18000,3063828.4756412203,1.0264034737519356,620700.7300000002,724067.9238406003,16.653306310852912,-0.7486,0.4094,False
2024-07-22,SKU0002,Electronics,21607.813741935483,22504.574216893663,20.016260576537295,4.150167553590989,155,150.3527730274912,-2.9982109500056753,3349211.13,18000,3383625.1393129434,1.0275258255499464,559211.1299999998,677275.2248181019,21.11261534048905,-0.7486,0.4094,False
2024-07-29,SKU0002,Electronics,20338.68707070707,,,,198,,,4027060.04,18000,,,463060.0399999999,,,-0.7486,0.4094,False
2024-08-05,SKU0002,Electronics,18583.051111111112,,,,162,,,3010454.2800000003,18000,,,94454.28000000012,,,-2.7505,0.4094,False
2024-08-12,SKU0002,Electronics,17090.358301886794,,,,265,,,4528944.95,18000,,,-241055.0499999996,,,-2.7505,0.4094,False
2024-08-19,SKU0002,Electronics,21827.869545454545,22660.637419418297,20.567106446107804,3.815158745701641,176,171.1353997356057,-2.7639774229513137,3841705.04,18000,3878037.243035774,0.9457311963693593,673705.0399999999,797600.0477948721,18.39009662075144,-0.7486,0.4094,False
2024-08-26,SKU0002,Electronics,21253.342880434782,,,,184,,,3910615.09,18000,,,598615.09,,,-0.7486,0.4094,False
2024-09-02,SKU0002,Electronics,20879.31704819277,,,,166,,,3465966.63,18000,,,477966.62999999983,,,-0.7486,0.4094,False
2024-09-09,SKU0002,Electronics,19738.9848255814,,,,172,,,3395105.3900000006,18000,,,299105.3900000007,,,-0.7486,0.4094,False
2024-09-16,SKU0002,Electronics,19834.09093406593,,,,182,,,3609804.5499999993,18000,,,333804.5499999994,,,-2.7505,0.4094,False
2024-09-23,SKU0002,Electronics,20824.511944444446,,,,144,,,2998729.72,18000,,,406729.72000000026,,,-2.7505,0.4094,False
2024-09-30,SKU0002,Electronics,20404.06090909091,,,,143,,,2917780.71,18000,,,343780.71,,,-0.7486,0.4094,False
2024-10-07,SKU0002,Electronics,19022.431505376346,,,,186,,,3538172.2600000002,18000,,,190172.2600000003,,,-0.7486,0.4094,False
2024-10-14,SKU0002,Electronics,18808.38512820513,,,,195,,,3667635.1,18000,,,157635.10000000018,,,-0.7486,0.4094,False
2024-10-21,SKU0002,Electronics,20765.11576642336,,,,137,,,2844820.8600000003,18000,,,378820.8600000005,,,-0.7486,0.4094,False
2024-10-28,SKU0002,Electronics,20329.988773584908,,,,106,,,2154978.81,18000,,,246978.81000000023,,,-0.7486,0.4094,False
2024-11-04,SKU0002,Electronics,18942.458496732022,,,,153,,,2898196.1499999994,18000,,,144196.14999999944,,,-0.7486,0.4094,False
2024-11-11,SKU0002,Electronics,20616.85511450382,,,,131,,,2700808.02,18000,,,342808.0200000002,,,-0.7486,0.4094,False
2024-11-18,SKU0002,Electronics,20434.725839416056,,,,137,,,2799557.4399999995,18000,,,333557.4399999997,,,-0.7486,0.4094,False
2024-11-25,SKU0002,Electronics,19166.984551724137,,,,145,,,2779212.76,18000,,,169212.75999999992,,,-0.7486,0.4094,False
2024-12-02,SKU0002,Electronics,19491.642617449663,,,,149,,,2904254.7499999995,18000,,,222254.74999999977,,,-0.7486,0.4094,False
2024-12-09,SKU0002,Electronics,22274.446888888888,23040.761964347854,21.877583615280095,3.4403326793323252,135,131.62455105209463,-2.500332554003981,3007050.33,18000,3032729.9494554643,0.8539803673809576,577050.3299999998,663488.0305177609,14.979230757525276,-0.7486,0.4094,False
2024-12-16,SKU0002,Electronics,20733.3518125,,,,160,,,3317336.29,18000,,,437336.29000000015,,,-0.7486,0.4094,False
2024-12-23,SKU0002,Electronics,18828.93966442953,,,,149,,,2805512.01,18000,,,123512.01000000001,,,-0.7486,0.4094,False
2024-12-30,SKU0002,Electronics,19276.56339622641,,,,53,,,1021657.8599999998,18000,,,67657.85999999978,,,-0.7486,0.4094,False
2024-07-01,SKU0003,Electronics,33655.95154411765,,,,136,,,4577209.41,30000,,,497209.41000000015,,,1.7516,0.0164,True
2024-07-08,SKU0003,Electronics,35592.216636363635,,,,110,,,3915143.83,30000,,,615143.8299999998,,,1.7516,0.0164,True
2024-07-15,SKU0003,Electronics,33999.69010869566,,,,92,,,3127971.49,30000,,,367971.49000000046,,,-1.176,0.0164,True
2024-07-22,SKU0003,Electronics,39854.97824324325,38727.931009674496,22.536527984141987,-2.827870653171971,74,76.5389777456399,3.4310510076214884,2949268.39,30000,2964196.2496841536,0.5061546699096198,729268.3900000004,668026.9173149565,-8.397659013445491,-1.176,0.0164,True
2024-07-29,SKU0003,Electronics,35388.70777777778,,,,81,,,2866485.33,30000,,,436485.3300000003,,,-1.176,0.0164,True
2024-08-05,SKU0003,Electronics,35810.27141791045,,,,134,,,4798576.37,30000,,,778576.3700000005,,,1.7516,0.0164,True
2024-08-12,SKU0003,Electronics,34130.762500000004,,,,92,,,3140030.1500000004,30000,,,380030.1500000004,,,1.7516,0.0164,True
2024-08-19,SKU0003,Electronics,35240.46156626506,,,,83,,,2924958.31,30000,,,434958.31000000006,,,-1.176,0.0164,True
2024-08-26,SKU0003,Electronics,39595.72041666667,39532.15929249425,24.11241749272236,-0.16052523733263158,72,72.13615771918988,0.18910794331927772,2850891.87,30000,2851698.0777035034,0.028279140011844284,690891.8700000003,687613.3461278068,-0.4745350198133824,-1.176,0.0164,True
2024-09-02,SKU0003,Electronics,33175.62925,,,,80,,,2654050.34,30000,,,254050.33999999985,,,-1.176,0.0164,True
2024-09-09,SKU0003,Electronics,39214.8955,40240.193938193304,25.447675411111764,2.614563739417086,60,58.206228882398264,-2.9896185293362243,2352893.73,30000,2342229.9386385744,-0.4532202719340628,552893.73,596043.0721666267,7.804274099224595,-1.176,0.0164,True
2024-09-16,SKU0003,Electronics,32389.18186915888,,,,107,,,3465642.4600000004,30000,,,255642.4600000003,,,1.7516,0.0164,True
2024-09-23,SKU0003,Electronics,34117.82791666666,,,,72,,,2456483.6099999994,30000,,,296483.60999999964,,,1.7516,0.0164,True
2024-09-30,SKU0003,Electronics,38628.74107142857,39639.26152609269,24.31745989956854,2.6159808128242146,56,54.324931376184395,-2.991193971099293,2163209.5,30000,2153400.162207612,-0.45346221863338254,483209.50000000006,523652.22092207987,8.369603851348085,-1.176,0.0164,True
2024-10-07,SKU0003,Electronics,37755.49847457627,38066.99552284299,21.191573992232197,0.8250375729417891,59,58.43264992404664,-0.9616102982260233,2227574.41,30000,2224355.4230465353,-0.14450637154989066,457574.41,471375.92532513605,3.0162340864158255,-1.176,0.0164,True
2024-10-14,SKU0003,Electronics,33729.24307692308,,,,52,,,1753920.6400000001,30000,,,193920.64000000004,,,-1.176,0.0164,True
2024-10-21,SKU0003,Electronics,,,,,0,,,,30000,,,,,,-1.176,0.0164,True
2024-10-28,SKU0003,Electronics,35525.3074137931,,,,58,,,2060467.83,30000,,,320467.83,,,-1.176,0.0164,True
2024-11-04,SKU0003,Electronics,37814.83346153847,38804.833874611235,22.69004398540141,2.618021348896593,52,50.44339951617543,-2.993462468893404,1966371.3400000003,30000,1957447.7382958324,-0.45381060650364624,406371.34000000026,444145.7528105694,9.295540578862948,-1.176,0.0164,True
2024-11-11,SKU0003,Electronics,36284.1268,37119.5733025816,19.180105451498946,2.302512355296926,50,48.67923183336494,-2.6415363332701225,1814206.3399999999,30000,1806952.3143519536,-0.3998456784163995,314206.3399999999,346575.3593510054,10.301835205172981,-1.176,0.0164,True
2024-11-18,SKU0003,Electronics,35731.903018867924,36669.38909395427,18.187892568556208,2.623666796003876,53,51.41013880983024,-2.9997380946599317,1893790.86,30000,1885178.383391864,-0.45477443101273884,303790.86,342874.2190969569,12.865218886755493,-1.176,0.0164,True
2024-11-25,SKU0003,Electronics,36448.02127272728,37403.56194783819,19.793735040964712,2.621653087724418,55,53.351375170292336,-2.9974996903775697,2004641.1700000004,30000,1995531.4661843858,-0.45443064584045345,354641.17000000045,394990.2110756157,11.377427238810212,-1.176,0.0164,True
2024-12-02,SKU0003,Electronics,36388.37235294117,37230.14222863845,19.420130560438267,2.3132935640338914,51,49.646663531565785,-2.6536009184984555,1855806.9899999998,30000,1848352.3444575518,-0.40169293372733783,325806.9899999998,358952.4385105782,10.173338672254516,-1.176,0.0164,True
2024-12-09,SKU0003,Electronics,39962.07047619048,39477.95998985067,24.00823140883507,-1.2114249351225181,42,42.60633583700318,1.4436567547694734,1678406.96,30000,1682011.2214873524,0.21474300174211258,418406.9600000001,403821.14637725696,-3.486035132575982,-1.176,0.0164,True
2024-12-16,SKU0003,Electronics,33258.333384615384,,,,65,,,2161791.67,30000,,,211791.66999999993,,,-1.176,0.0164,True
2024-12-23,SKU0003,Electronics,37520.852333333336,38503.44096538263,22.084885797681917,2.618780147423161,60,58.20341639234195,-2.9943060127634147,2251251.14,30000,2241031.807046122,-0.4539401567555945,451251.14000000013,494929.3152758634,9.67934956925831,-1.176,0.0164,True
2024-12-30,SKU0003,Electronics,35437.08,,,,21,,,744178.68,30000,,,114178.68000000004,,,-1.176,0.0164,True
2024-07-01,SKU0004,Electronics,13417.998,,,,80,,,1073439.8399999999,9000,,,353439.83999999997,,,0.0483,0.0018,True
2024-07-08,SKU0004,Electronics,14264.49883116883,,,,77,,,1098366.41,9000,,,405366.4099999999,,,0.0483,0.0018,True
2024-07-15,SKU0004,Electronics,14431.626274509805,,,,51,,,736012.9400000001,9000,,,277012.94000000006,,,-1.8797,0.0018,True
2024-07-22,SKU0004,Electronics,14862.188333333334,,,,60,,,891731.3,9000,,,351731.3,,,-1.8797,0.0018,True
2024-07-29,SKU0004,Electronics,13966.606000000002,,,,50,,,698330.3,9000,,,248330.30000000008,,,-1.8797,0.0018,True
2024-08-05,SKU0004,Electronics,14682.984473684211,,,,38,,,557953.41,9000,,,215953.41000000003,,,0.0483,0.0018,True
2024-08-12,SKU0004,Electronics,12062.936233766231,,,,77,,,928846.0899999999,9000,,,235846.08999999982,,,0.0483,0.0018,True
2024-08-19,SKU0004,Electronics,14732.921463414636,,,,41,,,604049.78,9000,,,235049.78000000006,,,-1.8797,0.0018,True
2024-08-26,SKU0004,Electronics,13688.389782608694,,,,46,,,629665.9299999999,9000,,,215665.92999999993,,,-1.8797,0.0018,True
2024-09-02,SKU0004,Electronics,14288.93487804878,,,,41,,,585846.33,9000,,,216846.33,,,-1.8797,0.0018,True
2024-09-09,SKU0004,Electronics,14879.39,,,,48,,,714210.72,9000,,,282210.72,,,-1.8797,0.0018,True
2024-09-16,SKU0004,Electronics,15152.817727272726,,,,44,,,666723.98,9000,,,270723.98,,,0.0483,0.0018,True
2024-09-23,SKU0004,Electronics,12552.135777777778,,,,45,,,564846.11,9000,,,159846.11,,,0.0483,0.0018,True
2024-09-30,SKU0004,Electronics,14937.976774193548,,,,31,,,463077.28,9000,,,184077.28,,,-1.8797,0.0018,True
2024-10-07,SKU0004,Electronics,15414.63576923077,,,,26,,,400780.53,9000,,,166780.53000000003,,,-1.8797,0.0018,True
2024-10-14,SKU0004,Electronics,15976.591612903225,,,,31,,,495274.33999999997,9000,,,216274.33999999997,,,-1.8797,0.0018,True
2024-10-21,SKU0004,Electronics,,,,,0,,,,9000,,,,,,-1.8797,0.0018,True
2024-10-28,SKU0004,Electronics,14815.497272727274,,,,33,,,488911.41000000003,9000,,,191911.41000000006,,,-1.8797,0.0018,True
2024-11-04,SKU0004,Electronics,14802.479,,,,30,,,444074.37,9000,,,174074.37,,,-1.8797,0.0018,True
2024-11-11,SKU0004,Electronics,13181.651666666665,,,,36,,,474539.45999999996,9000,,,150539.45999999993,,,-1.8797,0.0018,True
2024-11-18,SKU0004,Electronics,15180.907741935484,,,,31,,,470608.14,9000,,,191608.13999999998,,,-1.8797,0.0018,True
2024-11-25,SKU0004,Electronics,13551.309411764709,,,,34,,,460744.5200000001,9000,,,154744.5200000001,,,-1.8797,0.0018,True
2024-12-02,SKU0004,Electronics,14730.058333333332,,,,30,,,441901.75,9000,,,171901.74999999997,,,-1.8797,0.0018,True
2024-12-09,SKU0004,Electronics,15188.52722222222,,,,36,,,546786.9799999999,9000,,,222786.9799999999,,,-1.8797,0.0018,True
2024-12-16,SKU0004,Electronics,13524.729743589744,,,,39,,,527464.46,9000,,,176464.46,,,-1.8797,0.0018,True
2024-12-23,SKU0004,Electronics,15065.611428571428,,,,42,,,632755.6799999999,9000,,,254755.68,,,-1.8797,0.0018,True
2024-12-30,SKU0004,Electronics,15872.2165,,,,20,,,317444.33,9000,,,137444.33000000002,,,-1.8797,0.0018,True
2024-07-01,SKU0005,Electronics,6095.710044247788,,,,226,,,1377630.47,6000,,,21630.470000000012,,,-3.7896,0.0,True
2024-07-08,SKU0005,Electronics,6271.0388047808765,,,,251,,,1574030.74,6000,,,68030.74,,,-3.7896,0.0,True
2024-07-15,SKU0005,Electronics,6503.269602272727,,,,176,,,1144575.45,6000,,,88575.44999999992,,,-2.4587,0.0,True
2024-07-22,SKU0005,Electronics,7162.048831168831,,,,154,,,1102955.52,6000,,,178955.52000000002,,,-2.4587,0.0,True
2024-07-29,SKU0005,Electronics,6539.227021276595,,,,188,,,1229374.68,6000,,,101374.6799999999,,,-2.4587,0.0,True
2024-08-05,SKU0005,Electronics,6542.924242424242,,,,198,,,1295499.0,6000,,,107498.99999999993,,,-3.7896,0.0,True
2024-08-12,SKU0005,Electronics,5574.29825203252,,,,246,,,1371277.37,6000,,,-104722.62999999998,,,-3.7896,0.0,True
2024-08-19,SKU0005,Electronics,7365.835112781955,7457.653132406685,19.545735186751443,1.2465391665555714,133,129.01000000000002,-2.9999999999999805,979656.0700000001,6000,962111.8306117866,-1.7908570084410824,181656.07000000004,188051.8306117864,3.520807541298443,-2.4587,0.0,True
2024-08-26,SKU0005,Electronics,7403.694027777778,7495.983973605963,19.95713943457534,1.2465391665555714,144,139.68,-2.9999999999999916,1066131.94,6000,1047039.0414332809,-1.7908570084410935,202131.93999999997,208959.04143328092,3.3775470780525563,-2.4587,0.0,True
2024-09-02,SKU0005,Electronics,6538.924277108434,,,,166,,,1085461.43,6000,,,89461.43,,,-2.4587,0.0,True
2024-09-09,SKU0005,Electronics,6610.873712574849,,,,167,,,1104015.91,6000,,,102015.90999999984,,,-2.4587,0.0,True
2024-09-16,SKU0005,Electronics,6807.267218543047,,,,151,,,1027897.3500000002,6000,,,121897.35000000017,,,-3.7896,0.0,True
2024-09-23,SKU0005,Electronics,7003.002993197279,,,,147,,,1029441.44,6000,,,147441.43999999994,,,-3.7896,0.0,True
2024-09-30,SKU0005,Electronics,7430.572352941176,7523.197347619838,20.246675412572312,1.2465391665555714,119,115.43,-2.9999999999999916,884238.11,6000,868402.6698357579,-1.7908570084410935,170238.10999999996,175822.66983575793,3.280440458225242,-2.4587,0.0,True
2024-10-07,SKU0005,Electronics,7323.11343137255,7414.3989085059,19.076379973072157,1.2465391665555714,102,98.94000000000001,-2.9999999999999916,746957.5700000001,6000,733580.6280075739,-1.7908570084410824,134957.57000000007,139940.62800757377,3.6923145604753405,-2.4587,0.0,True
2024-10-14,SKU0005,Electronics,6798.538968253969,,,,126,,,856615.91,6000,,,100615.91000000009,,,-2.4587,0.0,True
2024-10-21,SKU0005,Electronics,7513.87,7593.286537753973,20.982831740012976,1.0569325494581783,119,115.9632190804322,-2.551916739132609,894150.53,6000,880541.9503180605,-1.521956228325394,180150.53,184762.63583546726,2.560140031487701,-2.4587,0.0,True
2024-10-28,SKU0005,Electronics,6661.9385135135135,,,,148,,,985966.9,6000,,,97966.9,,,-2.4587,0.0,True
2024-11-04,SKU0005,Electronics,7332.107203389831,7423.504791413928,19.17564319565554,1.2465391665555714,118,114.46000000000001,-2.9999999999999916,865188.65,6000,849694.3584252382,-1.7908570084410935,157188.65000000002,162934.35842523817,3.6552947208581266,-2.4587,0.0,True
2024-11-11,SKU0005,Electronics,6250.545824175823,,,,182,,,1137599.3399999999,6000,,,45599.339999999844,,,-2.4587,0.0,True
2024-11-18,SKU0005,Electronics,6877.754587155963,,,,109,,,749675.25,6000,,,95675.25,,,-2.4587,0.0,True
2024-11-25,SKU0005,Electronics,7390.714594594594,7482.842746704555,19.816569676779576,1.2465391665555714,111,107.67000000000002,-2.9999999999999805,820369.32,6000,805677.6785376795,-1.7908570084410824,154369.31999999995,159657.67853767946,3.425783398980786,-2.4587,0.0,True
2024-12-02,SKU0005,Electronics,6453.30804054054,,,,148,,,955089.5899999999,6000,,,67089.58999999991,,,-2.4587,0.0,True
2024-12-09,SKU0005,Electronics,6372.011168831169,,,,154,,,981289.72,6000,,,57289.72000000003,,,-2.4587,0.0,True
2024-12-16,SKU0005,Electronics,7031.024565217392,,,,184,,,1293708.52,6000,,,189708.52000000008,,,-2.4587,0.0,True
2024-12-23,SKU0005,Electronics,7228.623154362417,7318.729113922535,18.01855340449609,1.2465162125063989,149,144.53008056433654,-2.9999459299754783,1077064.85,6000,1057776.5084637795,-1.7908245298526526,183064.85000000015,190596.0250777602,4.113938354501179,-2.4587,0.0,True
2024-12-30,SKU0005,Electronics,7157.452307692308,,,,52,,,372187.52,6000,,,60187.520000000004,,,-2.4587,0.0,True
2024-07-01,SKU0006,Electronics,44212.513983739846,,,,246,,,10876278.440000001,42000,,,544278.440000002,,,0.9605,0.0,True
2024-07-08,SKU0006,Electronics,45244.50772908366,,,,251,,,11356371.44,42000,,,814371.4399999995,,,0.9605,0.0,True
2024-07-15,SKU0006,Electronics,51533.05091503268,52287.90826540469,19.67550167274809,1.4648023685160938,153,148.41000000000003,-2.9999999999999805,7884556.790000001,42000,7760048.465668711,-1.5791417025393772,1458556.7900000005,1526828.46566871,4.680769109354288,-2.0946,0.0,True
2024-07-22,SKU0006,Electronics,49516.78375,,,,152,,,7526551.130000001,42000,,,1142551.1300000004,,,-2.0946,0.0,True
2024-07-29,SKU0006,Electronics,51994.00327868853,52754.0750320879,20.385297297974965,1.4618450310998066,122,118.34722499772425,-2.994077870717826,6343268.4,42000,6243298.387369334,-1.576001618198386,1219268.4000000004,1272714.9374649154,4.383492384852672,-2.0946,0.0,True
2024-08-05,SKU0006,Electronics,44460.00686390533,,,,169,,,7513741.16,42000,,,415741.16000000044,,,0.9605,0.0,True
2024-08-12,SKU0006,Electronics,43151.41611111111,,,,216,,,9320705.879999999,42000,,,248705.8799999997,,,0.9605,0.0,True
2024-08-19,SKU0006,Electronics,50545.4302173913,51285.820876392296,18.106019788145208,1.4648023685160938,138,133.86,-2.9999999999999916,6975269.37,42000,6865119.982513874,-1.5791417025393883,1179269.3699999996,1242999.982513873,5.404245555353748,-2.0946,0.0,True
2024-08-26,SKU0006,Electronics,48130.12154929578,,,,142,,,6834477.260000001,42000,,,870477.2600000005,,,-2.0946,0.0,True
2024-09-02,SKU0006,Electronics,45300.341393939394,,,,165,,,7474556.33,42000,,,544556.3300000001,,,-2.0946,0.0,True
2024-09-09,SKU0006,Electronics,53495.33605504587,54278.93700462583,22.62191870776573,1.4648023685160938,109,105.73,-2.9999999999999916,5830991.63,42000,5738912.009499089,-1.5791417025393883,1252991.6299999997,1298252.0094990886,3.6121853023941553,-2.0946,0.0,True
2024-09-16,SKU0006,Electronics,49316.70675,,,,200,,,9863341.35,42000,,,1463341.3499999996,,,0.9605,0.0,True
2024-09-23,SKU0006,Electronics,47362.936608187134,,,,171,,,8099062.16,42000,,,917062.1599999999,,,0.9605,0.0,True
2024-09-30,SKU0006,Electronics,45790.220758620686,,,,145,,,6639582.01,42000,,,549582.0099999994,,,-2.0946,0.0,True
2024-10-07,SKU0006,Electronics,52816.81171641791,53590.47362541469,21.627861896555505,1.4648023685160938,134,129.98000000000002,-2.9999999999999916,7077452.7700000005,42000,6965689.761831403,-1.5791417025393661,1449452.7700000003,1506529.7618314018,3.9378304014280996,-2.0946,0.0,True
2024-10-14,SKU0006,Electronics,50026.123178294576,,,,129,,,6453369.890000001,42000,,,1035369.8900000004,,,-2.0946,0.0,True
2024-10-21,SKU0006,Electronics,50774.98419354839,51518.73736462916,18.476262912383348,1.4648023685160938,124,120.28000000000002,-2.9999999999999916,6296098.040000001,42000,6196673.7302175965,-1.5791417025393772,1088098.0400000007,1144913.7302175956,5.221559834589429,-2.0946,0.0,True
2024-10-28,SKU0006,Electronics,47069.16386075949,,,,158,,,7436927.889999999,42000,,,800927.889999999,,,-2.0946,0.0,True
2024-11-04,SKU0006,Electronics,48365.08834532374,,,,139,,,6722747.28,42000,,,884747.2799999999,,,-2.0946,0.0,True
2024-11-11,SKU0006,Electronics,49588.51517985611,,,,139,,,6892803.609999999,42000,,,1054803.6099999996,,,-2.0946,0.0,True
2024-11-18,SKU0006,Electronics,47248.70134831461,,,,178,,,8410268.84,42000,,,934268.8400000001,,,-2.0946,0.0,True
2024-11-25,SKU0006,Electronics,49377.9126056338,,,,142,,,7011663.59,42000,,,1047663.5899999995,,,-2.0946,0.0,True
2024-12-02,SKU0006,Electronics,48233.51622222222,,,,180,,,8682032.92,42000,,,1122032.9199999997,,,-2.0946,0.0,True
2024-12-09,SKU0006,Electronics,49867.544,,,,160,,,7978807.04,42000,,,1258807.0400000003,,,-2.0946,0.0,True
2024-12-16,SKU0006,Electronics,49010.68763975155,,,,161,,,7890720.71,42000,,,1128720.7099999997,,,-2.0946,0.0,True
2024-12-23,SKU0006,Electronics,53750.83913669065,54538.182701462174,22.989733211491888,1.4648023685160938,139,134.83,-2.9999999999999916,7471366.640000001,42000,7353383.173638145,-1.5791417025393772,1633366.6400000004,1690523.173638145,3.499308253176059,-2.0946,0.0,True
2024-12-30,SKU0006,Electronics,49483.909565217386,,,,46,,,2276259.84,42000,,,344259.83999999973,,,-2.0946,0.0,True
2024-07-01,SKU0007,Electronics,17027.792166666666,,,,120,,,2043335.06,12000,,,603335.0599999999,,,-1.1019,0.0358,True
2024-07-08,SKU0007,Electronics,17404.739024390245,,,,123,,,2140782.9,12000,,,664782.9000000001,,,-1.1019,0.0358,True
2024-07-15,SKU0007,Electronics,20414.79265060241,,,,83,,,1694427.79,12000,,,698427.7899999999,,,-2.5623,0.0358,True
2024-07-22,SKU0007,Electronics,17430.3,,,,78,,,1359563.4,12000,,,423563.39999999997,,,-2.5623,0.0358,True
2024-07-29,SKU0007,Electronics,20674.2321875,,,,64,,,1323150.86,12000,,,555150.8600000001,,,-2.5623,0.0358,True
2024-08-05,SKU0007,Electronics,19754.347619047618,,,,84,,,1659365.2,12000,,,651365.1999999998,,,-1.1019,0.0358,True
2024-08-12,SKU0007,Electronics,15952.113739130436,,,,115,,,1834493.08,12000,,,454493.0800000002,,,-1.1019,0.0358,True
